Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
36.57,31/12/1899,68_799,1869318,5712810,100,
36.1,,72_3977,1841070,5920690,100,
36,1/08/1994,68_151,1868519,5711609,100,
36,31/12/1899,68_465,1868782,5711037,150,
36,9/01/1996,68_533,1868920,5711209,100,
36,1/10/1994,68_653,1869217,5713711,80,
36,1/01/2019,72_10696,1868226,5712192,200,
36,,72_2970,1868718,5713834,150,
36.00,,BN21-0052,1885036,5771925,,
36.00,,RR1030,1884908,5774510,100.00,
36.00,9/09/2010,RR11546,1891230,5776861,80.00,
35.00,23/10/2018,BN19-0028,1884661,5774844,100.00,
35.00,,BN20-0071,1885016,5771994,200.00,
35.00,,RR5060,1885446,5771866,,
35.00,,RR5066,1884964,5771787,,
34.70,,RR86,1884832,5772397,88.90,
34.50,16/01/2019,BN19-0119,1884330,5775375,100.00,
34.10,1/07/1958,RR340,1884745,5771709,100.00,
33.8,26/08/1997,68_917,1868368,5709992,100,
33.52,31/12/1899,68_314,1868920,5711009,75,
33.52,1/01/1982,68_606,1870216,5712475,100,
33,,72_6742,1869271,5713615,,
33.00,,BN21-0020,1895704,5784270,,
33.00,,RR5058,1884951,5771691,,
32.90,,BN20-0104,1884353,5775358,100.00,
32,,72_6733,1868101,5712338,,
32.00,,BN-4565,1891204,5776848,,
32.00,23/08/1976,RR747,1884764,5774990,80.00,
31.7,1/01/2003,72_1521,1888333,5731063,150,
31.70,1/02/1956,RR381,1884123,5774666,75.00,
31.70,,RR5053,1885563,5772171,,
31.00,,RR1046,1884754,5775032,100.00,
31.00,5/08/2001,RR3684,1884739,5774999,100.00,
30.48,1/01/1981,68_187,1870163,5712156,100,
30.48,31/12/1899,68_464,1870308,5712979,100,
30.48,31/12/1899,68_530,1869319,5712210,30,
30.48,31/12/1899,68_839,1869319,5712210,30,
30.48,29/04/1961,RR400,1884926,5774089,100.00,
30.48,5/08/1958,RR401,1884943,5774174,150.00,
30.48,10/05/1962,RR424,1885214,5772688,100.00,
30.4,29/02/1972,68_77,1870161,5714508,250,
30,31/12/1899,68_306,1870202,5712413,100,
30,,68_400,1868419,5711708,,
30,1/10/1982,72_2026,1887273,5728880,,
30,1/08/2010,72_5152,1869620,5711710,250,
30,,72_6731,1869316,5713227,,
30,,72_6735,1869433,5713344,,
30,,72_6743,1869293,5712170,,
30.00,23/11/2017,BN21-0112,1884417,5775047,55.00,
30.00,,RR11122,1911879,5782327,80.00,
30.00,,RR11123,1910847,5783046,80.00,
30.00,,RR5018,1885372,5772241,,
30.00,,RR5020,1885518,5771895,85.00,
30.00,,RR606,1885453,5772249,75.00,
30.00,,BN-11122,1911879,5782327,80.00,
30.00,,BN-11123,1910847,5783046,80.00,
29.57,17/07/1960,72_9986,1848695,5801638,100,
29.30,,RR5045,1884861,5771726,,
29.30,1/04/1941,RR9,1885187,5772263,63.50,
29,1/01/1980,68_398,1869820,5712010,50,
28.25,31/12/1899,66_2,1889097,5729831,100,
28.2,31/12/1899,72_1520,1887883,5731223,150,
28,,72_12341,1868282.43,5712187.68,,
28,,72_6717,1869595,5713490,100,
27.43,31/12/1899,68_467,1868519,5711609,50,
26.22,17/12/2014,72_8157,1800863,5823127,32,
26.20,,RR326,1884668,5774182,,
25.90,,RR743,1884188,5775038,100.00,
25.70,,RR5075,1884895,5772037,100.00,
25.00,31/03/2011,RR11550,1883964,5774200,200.00,
25.00,,RR5021,1885550,5771887,,
24.7,31/12/1899,68_93,1869070,5720545,100,
24.40,15/12/1960,RR201,1884950,5774394,75.00,
24.40,17/09/1960,RR386,1885285,5774043,100.00,
24.38,31/12/1899,68_246,1868719,5711309,100,
24.38,1/12/1986,68_707,1869819,5712210,100,
24.30,21/11/1960,RR238,1884488,5773003,100.00,
24.30,27/02/1961,RR309,1884717,5774849,75.00,
24,31/12/1899,68_79,1869421,5713838,100,
24,,72_6738,1868654,5711571,,
24.00,,BN19-0087,1884648,5774850,,
22.90,,RR39,1884279,5775160,63.50,
22,1/02/1993,68_403,1839622,5683545,100,
22,1/03/1993,68_412,1868519,5711308,150,
22,13/12/2008,72_4033,1853610,5689569,100,
22,26/06/2012,72_6784,1840028,5682766,150,
21.30,1/05/1943,RR21,1884950,5774550,63.50,
21,1/01/1985,68_237,1869590,5711704,150,
20.57,29/05/1997,72_654,1865510,5718710,,
20.10,,RR15,1885509,5773695,38.10,
20,31/12/1899,68_393,1869218,5713510,50,
20,18/12/1990,68_599,1844631,5682169,100,
20,18/12/1990,68_603,1868519,5711408,100,
20,31/12/1899,68_612,1868918,5712510,,
20,30/07/1991,68_841,1868520,5710908,150,
19.8,12/04/2011,72_6531,1853549,5730518,100,
19.63,15/04/2011,72_5717,1865498,5721479,100,
19.20,,RR660,1884332,5775290,,
18.90,,RR407,1884684,5772970,100.00,
18.90,,RR5024,1884611,5771751,,
18.5,1/04/1995,68_604,1868559,5711378,150,
18.50,,RR5026,1885116,5771524,100.00,
18.28,31/12/1899,68_42,1868519,5711508,100,
18,1/11/1993,68_565,1868120,5710207,65,
16.1,31/12/1899,72_1517,1888002,5731823,50,
16,1/01/1992,66_35,1891564,5742992,100,
15.24,22/03/1961,RR412,1884848,5771880,100.00,
15,3/10/1995,68_135,1868319,5711808,100,
15,8/10/2004,72_2292,1880417,5722328,96,
15.00,19/07/1988,RR5029,1883922,5771263,,
13.71,31/12/1899,68_169,1869920,5712010,14,
13.71,1/01/1987,68_409,1869820,5712010,14,
13,1/04/1994,68_790,1868619,5711208,100,
12.6,31/12/1899,72_1518,1888033,5731713,50,
12.50,7/11/1984,BN23-0019,1884035,5774722,150.00,
12,9/05/1990,68_143,1839527,5683666,100,
12,31/12/1899,68_76,1869619,5712710,150,
11,26/02/2020,72_10786,1790870,5822586,100,
10.5,25/05/2006,72_4800,1868374,5711754,150,
10,31/12/1899,68_453,1868419,5711308,100,
10,,72_6734,1868462,5711395,,
10.00,,RR11124,1911527,5783928,80.00,
10.00,,RR11125,1911496,5783938,80.00,
10.00,,RR11126,1911557,5783958,80.00,
10.00,,BN-11124,1911527,5783928,80.00,
10.00,,BN-11125,1911496,5783938,80.00,
10.00,,BN-11126,1911557,5783958,80.00,
9.14,31/12/1899,68_173,1870119,5712190,9,
9.14,1/07/1975,68_383,1868519,5711508,75,
9.14,1/01/1984,68_716,1870019,5713011,75,
9.10,22/05/1961,RR410,1884876,5771922,100.00,
8.80,1/01/1982,BN22-0072,1885071,5771678,100.00,
8.3,20/09/1993,68_848,1868419,5711308,150,
8,,68_201,1868520,5710908,80,
8,27/03/2008,72_3875,1854474,5899825,100,
8.00,1/01/1982,BN22-0071,1885543,5770847,100.00,
7.62,31/12/1899,68_462,1870227,5712487,50,
7.62,31/12/1899,68_487,1868520,5710908,300,
7.60,,RR207,1884273,5775186,100.00,
7,25/06/1991,68_809,1868619,5711909,100,
6.5,,68_336,1868419,5711408,80,
6,18/04/1989,68_297,1837717,5685366,80,
6,,72_10216,1866059,5735935,900,
6,11/09/1981,72_2035,1888212,5731944,100,
6,,72_2036,1888212,5731944,100,
6.00,27/10/1959,RR320,1885277,5774375,150.00,
5.90,1/01/1982,BN22-0073,1886058,5773035,100.00,
5.48,1/01/1982,68_165,1869918,5713411,600,
5.48,31/12/1899,68_182,1870118,5713311,600,
5,31/12/1899,68_332,1868520,5711008,40,
5,,72_4290,1806963,5879559,500,
4.27,31/12/1899,68_276,1868483,5711505,50,
3.05,31/12/1899,68_508,1869919,5713011,50,
3,14/04/2003,69_2247,1782469,5854099,32,
2.90,1/01/1982,BN22-0070,1884383,5774520,100.00,
1.22,31/12/1899,68_532,1868459,5711348,600,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
