Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
427.85,26/04/1993,68_569,1887411,5732243,193,
415.9,24/08/2008,72_4111,1870027,5716167,330,
415.55,1/10/1955,72_2524,1868810,5720415,,
409.46,20/04/1956,72_2528,1868810,5720515,,
402.6,23/06/2008,72_4107,1870285,5716456,600,
401,9/07/1999,72_202,1865807,5721412,460,
400.43,29/10/1978,72_2611,1887757,5730300,,
400,25/06/1999,72_201,1865807,5721412,460,
400,,72_5561,1890796,5728469,220,
395,7/04/1967,72_2470,1869517,5714712,,
394.57,3/08/1978,72_2610,1887713,5730394,,
393.88,10/10/1985,72_2520,1866397,5731520,,
392.00,7/11/1961,RR363,1884254,5772048,100.00,
384.00,19/01/1976,RR732,1884169,5774496,75.00,
382.2,7/06/1983,61_515,1787446,5878560,382,
378,30/11/1966,72_2468,1869928,5713314,,
378,16/06/2009,72_5681,1871829,5713978,240,
376.6,28/07/2008,72_3903,1871317,5715674,240,
372,14/05/2009,72_4531,1878062,5728837,320,
367.3,16/11/1983,72_2613,1888899,5732723,,
358.44,15/06/1976,72_2600,1888064,5731500,,
356,1/01/1983,64_454,1849281,5811044,150,
355,23/10/2009,72_4540,1877906,5730431,320,
353.96,1/09/1956,72_2527,1868910,5720415,,
352,5/03/1992,64_593,1849286,5814185,100,
348.48,1/10/1956,72_2505,1866610,5719812,,
345,21/02/2009,72_5676,1869627,5715676,600,
341,17/10/2009,72_4535,1876910,5728836,320,
329.00,1/01/1978,BN-1001102,1897048,5754324,80.00,
328,28/09/2009,72_4532,1877583,5729830,320,
323.40,,RR1006,1884166,5774498,75.00,
323,1/01/1966,63_261,1820866,5871721,100,
314,30/10/2009,72_4541,1877906,5730431,320,
313.9,,64_758,1848980,5811844,314,
309.10,,RR689,1883897,5771481,75.00,
304.80,1/02/1979,RR784A,1885743,5771121,150.00,
304.00,13/01/1981,RR821,1883358,5770645,,
300,31/12/1899,72_3101,1841093,5920646,100,
300,7/11/2009,72_4542,1877906,5730431,320,
298.78,13/05/1962,72_2538,1868010,5720714,,
298.70,1/01/1979,RR809,1886651,5772702,,
296,22/06/1982,64_502,1838618,5846444,75,
292.92,,RR839,1885473,5772045,125.00,
278.1,22/01/2009,72_4106,1869833,5714979,315,
276,15/08/2003,72_1653,1849284,5811032,150,
274,,64_507,1844278,5811337,150,
271,28/10/1966,72_2469,1869602,5712571,,
266.2,24/09/2008,72_4104,1871019,5713638,330,
256.00,,RR777,1883802,5771435,,
248.48,6/11/1964,72_2555,1867609,5720714,,
248.00,5/03/1957,RR220,1885377,5774516,100.00,
245.00,1/02/1979,RR774,1886054,5771193,100.00,
245.00,,RR780,1885958,5771883,100.00,
244.80,4/02/1983,RR889,1886040,5773060,100.00,
241.00,28/11/2002,RR1057,1886037,5773039,250.00,
240,7/10/2009,72_4534,1877413,5727965,320,
237.7,31/12/1899,68_78,1869582,5712002,180,
237,20/06/2003,72_1396,1847123,5920177,100,
227.10,4/04/1977,RR763,1883750,5771412,100.00,
225,1/06/2010,72_5130,1869571,5712002,150,
225,22/09/2011,72_5583,1869379,5714419,100,
225,22/09/2011,72_5584,1869373,5714404,100,
224.50,,RR1028,1885481,5773739,100.00,
223.00,20/11/2024,BN24-0151,1884298,5774459,100.00,
219.50,1/04/1980,RR831,1886528,5772645,,
213.71,25/04/1977,RR757,1884389,5772419,100.00,
213.70,15/12/1980,RR501,1885468,5771721,150.00,
212.00,28/01/2022,BN21-0209,1884262,5774495,100.00,
211.00,1/09/1977,RR776,1885669,5771214,,
210.90,21/07/1982,RR864,1885638,5771187,125.00,
210,19/08/1997,72_1617,1850303,5915171,100,
210,9/06/2009,72_5682,1872239,5710271,150,
210.00,5/11/1981,RR849,1885366,5771642,100.00,
209.70,1/05/1963,RR468,1885458,5773711,100.00,
208.80,,RR686,1886400,5772574,76.00,
207.30,,RR703,1886422,5772572,75.00,
206,3/04/1980,68_540,1870119,5712511,226,
204.20,1/01/1960,RR384,1883589,5771469,75.00,
203.6,30/05/2008,72_4400,1879267,5720976,300,
201.63,19/03/2009,72_6624,1804649,5892919,104,
201.17,1/03/1974,RR681,1884221,5774431,100.00,
201.00,,BN24-0077,1899207,5784030,100.00,
200,15/08/1979,68_538,1870119,5712511,,
200,1/10/2008,72_3981,1870706,5711537,150,
200.00,31/12/2009,RR11542,1885289,5769554,150.00,
199.7,15/08/1979,68_857,1869819,5712210,,
198.70,12/11/1974,RR711,1885769,5772418,75.00,
198.00,1/10/1972,RR4484,1899366,5783904,,
198.00,1/10/1972,BN-4484,1899366,5783904,,
195.00,30/05/2020,BN20-0135,1884310,5774460,100.00,
195.00,,RR619,1884124,5774811,50.80,
192.60,,BN20-0096,1884954,5774143,100.00,
187.90,1/01/1972,BN21-0218,1886900,5772690,80.00,
187.00,,RR1045,1884485,5773967,100.00,
186.00,10/11/2005,RR1000013,1885322,5771953,100.00,
185.90,,BN20-0074,1884928,5774171,100.00,
183,1/11/1996,68_865,1874296,5736932,100,
183,,72_2190,1825584,5846414,,
182.88,1/12/1986,68_75,1869819,5712210,200,
182.58,,RR683,1884912,5773733,100.00,
181.00,,BN20-0056,1884880,5774071,50.00,
180,,72_10215,1866012,5736431,150,
180,20/08/2008,72_4407,1872908,5725522,400,
178.00,1/09/2001,RR10164,1885379,5773733,100.00,
177.40,16/08/1967,RR586,1885038,5773606,100.00,
176.80,,RR615,1885027,5773280,75.00,
176.70,,RR822/3,1884535,5772992,,
176.00,3/09/2008,RR10655,1885489,5773711,100.00,
175.30,18/11/1974,RR684,1884777,5772952,75.00,
174.60,30/05/1975,RR721,1884667,5774361,150.00,
174.3,11/04/1994,67_309,1836702,5793017,125,
173.70,1/01/1951,RR338,1885789,5771380,62.50,
173.70,1/01/1969,RR601A,1884428,5773972,75.00,
171.65,1/07/1951,72_2471,1868510,5720514,,
170.70,7/09/1963,RR484,1885071,5774066,100.00,
169.00,24/03/2024,BN23-0110,1885256,5772655,175.00,
169.00,18/02/2024,BN23-0113,1885286,5772640,100.00,
168,1/03/1997,66_78,1868682,5746132,100,
168.00,,RR595,1885351,5771346,,
167.60,1/11/1963,RR486,1884436,5773022,75.00,
165.80,1/11/1964,RR502,1884704,5773768,100.00,
164.60,,RR331,1885115,5773952,100.00,
164.60,21/06/1957,RR361,1885401,5773673,87.50,
164.50,25/07/1979,RR817,1885516,5773682,100.00,
162.90,,BN19-0052,1885482,5772476,,
162.86,31/08/1976,RR745,1884896,5771955,100.00,
162.00,,RR1047,1884519,5773459,100.00,
160,,72_8071,1831669,5769899,100,
158.50,28/01/1975,RR710,1885634,5771628,75.00,
158.00,,RR1071,1884398,5774002,,
157.00,10/08/2020,BN19-0150,1885035,5773351,100.00,
156.40,27/06/1979,RR818,1885242,5773395,100.00,
156.10,21/05/1975,RR724,1884282,5770931,100.00,
155.40,28/05/1962,RR420,1885246,5773630,75.00,
155.25,,RR878,1885506,5774398,125.00,
155,6/12/2005,72_2892,1884414,5727536,150,
155.00,,RR10171,1884450,5774509,100.00,
155.00,27/03/2002,RR1054,1884307,5774494,100.00,
153.96,30/06/1977,RR769,1885876,5772630,100.00,
153.50,,BN20-0075,1884645,5773266,100.00,
152.7,6/12/1980,72_2030,1886918,5731516,,
152.7,6/12/1980,72_2612,1886943,5731582,,
152.7,7/10/2008,72_4108,1870749,5711950,320,
152.40,31/05/1961,RR162,1884870,5773950,152.00,
152.40,14/08/1958,RR364,1884982,5773629,100.00,
152.40,,RR601,1883843,5776042,76.20,
152.00,,RR772,1885089,5773273,100.00,
151.00,20/05/2021,BN21-0044,1885051,5772034,200.00,
150,1/01/1986,68_350,1870199,5712205,,
150.00,14/09/2016,BN17-0024,1884784,5772594,100.00,
150.00,20/03/2017,BN20-0131,1884572,5772477,100.00,
